latitude,longitude,empty_slots,bikes
40.795,-73.9645,30,2
40.7667405590595,-73.9790689945221,69,2
40.676368,-73.952918,21,0
40.751047,-73.93797,18,6
40.801694,-73.957145,22,8
40.805973,-73.964928,34,1
40.795508,-73.941606,3,19
40.7505853470215,-73.9946848154068,1,8
40.6794388,-73.9680438,15,8
40.6851443,-73.95380904,19,3
40.7557327,-73.9236611,18,11
40.73652889,-74.00618026,3,21
40.728846,-74.008591,1,77
40.71269042,-73.98776323,17,22
40.71782143,-73.97628939,15,2
40.69794,-73.96986848,8,14
40.71850211,-73.98329859,46,12
40.7945663,-73.9362541,18,6
40.6747055,-74.0075572,1,35
40.76030096,-73.99884222,42,5
40.8013434,-73.9711457439,51,2
40.67363551341504,-74.01195555925369,3,20
40.787801,-73.953559,30,5
40.6772744,-73.98282002,7,17
40.6765304,-73.97846879,27,11
40.7862586,-73.94552579,18,7
40.71019,-73.93734,4,16
40.68683208,-73.9796772,7,27
40.71406667,-73.99293911,12,17
40.73020660529954,-73.99102628231049,16,71
40.70539,-73.92976,5,13
40.713811,-73.93515,7,12
40.706237,-73.933871,2,27
40.702831,-73.9333,9,11
40.700003,-73.92834,15,7
40.704425,-73.92836,3,20
40.7027,-73.92095,4,21
40.69308257,-73.97178913,23,5
40.76500525,-73.95818491,57,1
40.7612274,-73.96094022,34,3
40.77632142182271,-73.96427392959595,41,4
40.68650065,-73.96563307,14,3
40.69766564,-73.98476437,16,2
40.72755146730012,-74.07106071710587,5,12
40.701403172577244,-73.98672670125961,5,19
40.7934337,-73.94945003,13,8
40.6787242,-73.99599099,18,3
40.804213,-73.96699104,19,3
40.6777287,-73.99364123,10,42
40.75594159,-74.0021163,3,72
